"Articulo","Nombre","Bulto","Sabores","Imagen","Stock"
"235","PICKLES MIXTOS X 200 GR","","","","8"
"237","PIMIENTOS ENTEROS X 200 GR","","","","7"
"239","POROTOS CONDIM X 200 GR","","","","5"
"242","ADOBO PARA PIZZA X KG.","","","","1"
"243","NUEZ MOSCADA ENTERA X KG","","","","2"
"244","AJI MOLIDO FINO X KG.","","","","3"
"245","AJO EN POLVO","","","","4"
"246","AJO GRANULADO X KG.","","","","1"
"247","ALBAHACA EN HOJAS X KG","","","","1"
"248","ANIS EN GRANO X KG.","","","","0"
"249","ANIS ESTRELLADO X KG.","","","","2"
"250","AZAFRAN ESPAÑOL X CAPSULA.","","","","1"
"251","CANELA EN RAMA X KG","","","","1"
"252","CANELA MOLIDA X KG.","","","","3"
"253","CARDAMOMO X KG.","","","","0"
"254","CEBOLLA EN ESCAMAS X KG.","","","","1"
"256","CHIMICHURRI X KG.","","","","1"
"257","CLAVO DE OLOR ENTERO X KG.","","","","1"
"258","COMINO MOLIDO X KG.","","","","0"
"262","CONDIMENTO PARA ARROZ X KG","","","","1"
"263","PESTO X KG","","","","1"
"264","CORIANDRO ENTERO X KG.","","","","1"
"265","CORIANDRO MOLIDO","","","","2"
"266","CURCUMA MOLIDA X KG","","","","4"
"267","CURRY X KG","","","","1"
"268","BICARBONATO DE SODIO X 50 GR","","","","5"
"269","MIX  4 PIMIENTAS","","","","1"
"270","SAL MARINA FINA X 500 GR.","","","","5"
"271","FINAS HIERBAS X KG.","","","","1"
"272","NUEZ MOSCADA MOLIDA X KG.","","","","3"
"273","GELATINA SIN SABOR X KG","","","","8"
"274","SAL MARINA GRUESA X 500 GR","","","","7"
"275","HONGOS SECOS X KG","","","","1"
"277","JENGIBRE  MOLIDO X KG.","","","","2"
"278","JULIANA SIN PAPA X KG","","","","1"
"279","LAUREL EN HOJAS X KG.","","","","1"
"280","MACA EN POLVO X KG.","","","","1"
"282","MOSTAZA EN GRANOS X KG","","","","3"
"285","OREGANO  KG.","","","","4"
"286","PEREJIL EN HOJAS X KG.","","","","1"
"287","PIMENTON AHUMADO X KG","","","","4"
"288","PIMENTON EXTRA X KG","","","","6"
"289","PIMENTÓN PICANTE X KG","","","","2"
"290","PIMIENTA BCA  EN GRANO X KG","","","","4"
"292","PIMIENTA BCA MOLIDA X KG","","","","2"
"293","PIMIENTA CAYENA MOLIDA X KG.","","","","0"
"294","PIMIENTA NEGRA EN GRANO X KG.","","","","3"
"295","PIMIENTA NEGRA MOLIDA X KG","","","","2"
"297","PROVENZAL X KG.","","","","1"
"298","ROMERO EN HOJAS X KG.","","","","0"
"299","SAL DEL HIMALAYA FINA X 1 KG","","","","10"
"300","SAL DEL HIMALAYA GRUESA X KG.","","","","3"
"302","TOMILLO X KG","","","","0"
"309","ZAPALLO EN ALMIBAR X 360GR","","","","3"
"313","HARINA DE MAIZ BLANCO","","","","0"
"314","TOSTADITAS DE ARROZ DELICEL ""SIN TACC""","","","","0"
"317","ALMENDRA PARTIDA X KG","","","","8"
"318","ALMENDRA NONPAREIL  X KG","","","","10"
"322","AVELLANAS SIN CASCARA X KG","","","","4"
"323","CASTAÑAS CAJÚ VIETNAM  X KG","","","","8"
"324","MANI C/CASCARA X KG","","","","5"
"327","MIX PATAGONICO X KG","","","","14"
"328","MIX TRADICIONAL X KG","","","","5"
"329","MIX TROPICAL X KG.","","","","9"
"331","NUEZ CUARTILLO X KG","","","","8"
"338","NUEZ CUARTOS X KG","","","","22"
"340","NUEZ MARIPOSA LIGHT X KG","","","","9"
"342","PISTACHOS CON CÁSCARA X KG","","","","6"
"348","FRUTA ESCURRIDA X KG","","","","3"
"351","JENGIBRE GLASEADO X KG","","","","1"
"357","ALMIDON DE MAIZ X KG","","","","4"
"358","FECULA DE MANDIOCA X KG","","","","12"
"359","GERMEN DE TRIGO NATURAL X KG.","","","","2"
"360","GLUTEN DE TRIGO X KG","","","","4"
"361","HARINA DE ALGARROBA X KG","","","","4"
"363","HARINA  DE ALMENDRAS S/ PIEL X KG","","","","7"
"364","HARINA DE ARROZ X KG","","","","3"
"365","HARINA DE AVENA X KG","","","","17"
"367","HARINA DE CHIA X KG.","","","","6"
"368","HARINA DE COCO X KG","","","","9"
"369","HARINA DE GARBANZO X KG","","","","9"
"370","HARINA DE LINO X KG","","","","5"
"372","HARINILLA DE MAIZ","","","","0"
"376","HARINA SOJA DESGR FINA X KG","","","","4"
"377","HARINA INTEGRAL FINA X KG.","","","","14"
"378","PANKO X KG","","","","20"
"380","SALVADO DE AVENA X KG","","","","4"
"381","SALVADO DE TRIGO GRUESO X 1 KG","","","","7"
"382","SEMOLIN DE TRIGO X KG","","","","2"
"383","TEXTURIZADO DE SOJA X KG","","","","5"
"384","BOLDO X KG","","","","2"
"385","INFUSOR PARA TE","","","","0"
"386","MANZANILLA FLOR X KG","","","","2"
"388","TE ROJO X KG","","","","1"
"418","CEREZAS AL MARRASCHINO X 170 g ""AGROIANNI""","","","","5"
"422","CEREZAS AL MARRASCHINO X 330 g ""AGROIANNI""","","","","6"
"428","HUMO NATURAL X 250 ML","","","","10"
"443","PASTA ACEITUNAS NEGRAS X 200 g ""AGROIANNI""","","","","7"
"444","PASTA ACEITUNAS VERDES X 200 g ""AGROIANNI""","","","","5"
"445","PASTA DE AJI PICANTE X 90 GR","","","","5"
"448","PASTA DE AJOS X 200 g ""AGROIANNI""","","","","0"
"458","SALSA AJI PICANTE X 180 CC","","","","9"
"460","SALSA CESAR 250 GR","","","","2"
"461","SALSA CHIMICHURRI  X 250 GR","","","","8"
"464","SALSA DE SOJA X 180 CC","","","","3"
"467","SALSA JALAPEÑO ROJA X 180 CC","","","","4"
"468","SALSA JALAPEÑO VERDE X 180 CC","","","","5"
"470","SALSA TERIYAKI X 250 CC","","","","5"
"471","TOMATE DESECADOS CONDIMENTADOS X 330 g ""AGROIANNI""","","","","0"
"472","JAZMIN XKG","","","","0"
"487","CARDO MARIANO TINTURA MADRE X 60 CC ""EL NATURALISTA""","","","","0"
"492","LEVADURA TITAN EN COPOS X200GR ""SIN TACC""","","","","1"
"493","YOGHURT DURAZNO X 1 L","","","","0"
"494","YOGHURT FRUTILLA X 1 L","","","","4"
"495","YOGHURT NATURAL AZUCARADO X 1 L","","","","7"
"496","YOGHURT NATURAL SIN AZUCAR X 1 L","","","","2"
"497","PREMEZCLA P/PANIFI S/ TACC X 1 KG","","","","7"
"499","REBOZADOR S/GLUTEN X 500 GR","","","","4"
"502","ENELDO SEMILLAS X KG","","","","0"
"504","MIX 7 SEMILLAS SALUD X KG","","","","4"
"505","MIX DE SLLAS  ADELGAZ X KG","","","","6"
"506","MIX SLLAS PARA ENSALADA X KG","","","","4"
"507","QUINOA X KG","","","","3"
"508","SEMILLA DE AMAPOLA X KG.","","","","2"
"509","SEMILLA DE AMARANTO X KG","","","","1"
"510","MASTROENI EXTRA BRUT","","","","3"
"511","SEMILLA DE CHIA NAC X KG.","","","","6"
"513","SEMILLA DE GIRASOL X KG.","","","","13"
"514","SEMILLA DE LINO X KG","","","","11"
"515","SEMILLA DE ZAPALLO PELADO X KG.","","","","6"
"516","SESAMO BLANCO X KG.","","","","4"
"517","SESAMO NEGRO X KG","","","","3"
