"nombre","cantidades","info","sabores","imagen","mix","Artículo","Estado","Stock"
"GRANOLA MIX BERRIES X KG","1 UNIDAD","","","","","127","🟢 ok","2"
"GRANOLA MIX ENERGET X KG","1 UNIDAD","","","","","128","🟢 ok","5"
"GRANOLA MIX TROPICAL X KG","1 UNIDAD","","","","","129","🟢 ok","3"
"GRANOLA CON MIEL X KG","1 UNIDAD","","","","","130","🟢 ok","15"
"QUINOA INFLADA X KG.","1 UNIDAD","","","","","131","🟢 ok","0"
"TUTUCAS CON AZUCAR X KG","1 UNIDAD","","","","","132","🟢 ok","5"
"TUTUCAS SIN AZUCAR X KG","1 UNIDAD","","","","","133","🟢 ok","3"
"ARANDANOS CONGELADOS X KG","1 UNIDAD","","","","","134","🟢 ok","0"
"CHOCOLATE 80%  COBERTURA SEMIAMARGO x kg - COLONIAL","1 UNIDAD","","","","","136","🟢 ok","5"
"PIÑA CONGELADA X KG","1 UNIDAD","","","","","137","🟢 ok","3"
"ARANDANOS DESHIDRATADOS X KG","1 UNIDAD","","","","","152","🟢 ok","10"
"CHIPS DE BANANA X KG","1 UNIDAD","","","","","155","🟢 ok","3"
"CIRUELA PRESIDENTE X KG.","1 UNIDAD","","","","","156","🟢 ok","0"
"CIRUELAS D`AGEN C/CAROZO X KG","1 UNIDAD","","","","","157","🟢 ok","0"
"CIRUELAS TIERNIZADAS S/C X KG","1 UNIDAD","","","","","158","🟢 ok","12"
"DATILES DE EGIPTO C/C X KG","1 UNIDAD","","","","","160","🟢 ok","6"
"HIGOS TIERNIZADOS X KG","1 UNIDAD","","","","","162","🟢 ok","4"
"MEDALLONES DURAZ.  X KG","1 UNIDAD","","","","","165","🟢 ok","3"
"PASAS MOROCHA JUMBO  X KG","1 UNIDAD","","","","","166","🟢 ok","16"
"PASAS RUBIA SIN SLLA X KG","1 UNIDAD","","","","","167","🟢 ok","10"
"PERAS WILLIAMS X KG","1 UNIDAD","","","","","168","🟢 ok","6"
"RODAJAS NARANJA DESHIDR X 1 KG","1 UNIDAD","","","","","172","🟢 ok","0"
"TOMATE SECOS X KG","1 UNIDAD","","","","","175","🟢 ok","7"
"DULCE DE ALCAYOTA X 500 GR","1 UNIDAD","","","","","176","🟢 ok","4"
"SALES DE BAÑO","1 UNIDAD","","","","","182","🟢 ok","0"
"HIGOS EN ALMIBAR  X 450 GR","1 UNIDAD","","","","","188","🟢 ok","6"
"DULCE DE MEMBRILLO X 500 GR","1 UNIDAD","","","","","191","🟢 ok","0"
"DULCE DE MEMBRILLO X 1 KG","1 UNIDAD","","","","","192","🟢 ok","3"
