"nombre","cantidades","info","sabores","imagen","mix","Artículo","Estado","Stock"
"ALMENDRAS TOSTADA CON ACEITE DE OLIVA Y SAL","1 UNIDAD","","","","","729","🟢 ok","0"
"MIX CITRICOS","1 UNIDAD","","","","","737","🟢 ok","0"
"ALMENDRAS CON CHOCO xKG","1 UNIDAD","","","","","751","🟢 ok","4"
"ARANDANOS CON CHOCO xKG","1 UNIDAD","","","","","752","🟢 ok","3"
"BARRA CHOCO 70% CON STEVIA x 100 g - COLONIAL","1 UNIDAD","","","","","753","🟢 ok","3"
"BARRA CHOCO SIN AZUCAR x 100 g - COLONIAL","1 UNIDAD","","","","","754","🟢 ok","28"
"ACEITERO SPRAY x 200 ml","1 UNIDAD","","","","","756","🟢 ok","10"
"GOTITAS DE CHOCO SEMIAMARGO X KG","1 UNIDAD","","","","","757","🟢 ok","4"
"MANI C/CHOCO SEMIAMARGO XKG","1 UNIDAD","","","","","758","🟢 ok","0"
"PASAS DE UVA C/CHOCO XKG","1 UNIDAD","","","","","759","🟢 ok","4"
"AVELLANAS CON CHOCO XKG","1 UNIDAD","","","","","760","🟢 ok","4"
"MOLINILLO CAFE MANUAL","1 UNIDAD","","","","","761","🟢 ok","4"
"INFUSOR PINZA","1 UNIDAD","","","","","762","🟢 ok","6"
"BARRA MUECAS X45GR","1 UNIDAD","","","","","764","🟢 ok","6"
"YOGHURT C/FRUTAS X 160","1 UNIDAD","","","","","774","🟢 ok","5"
"ALFAJORES MAICENA SIN TACC X 6 unidades","1 UNIDAD","","","","","777","🟢 ok","9"
"COLAGENO HIDROLIZADO X KG ""PEPTAN B 2000 LD""","1 UNIDAD","","","","","781","🟢 ok","3"
"EUCALIPTUS X KG","1 UNIDAD","","","","","782","🟢 ok","1"
"YERBA DEL PLATERO","1 UNIDAD","","","","","783","🟢 ok","1"
"TE DE BURRO X KG","1 UNIDAD","","","","","785","🟢 ok","0"
"SEN FOLICULOS X KG","1 UNIDAD","","","","","786","🟢 ok","0"
"LAVANDA X KG","1 UNIDAD","","","","","787","🟢 ok","0"
"CEDRON X KG","1 UNIDAD","","","","","788","🟢 ok","0"
"MELISA  X KG","1 UNIDAD","","","","","789","🟢 ok","0"
"MENTA HOJAS X KG","1 UNIDAD","","","","","790","🟢 ok","0"
"HARINA TRIGO SARRACENO X KG","1 UNIDAD","","","","","791","🟢 ok","0"
"YERBA MATE DESPALADA KALENA X KG","1 UNIDAD","","","","","793","🟢 ok","13"
"ALOE VERA JUGO X 250 ML ""NATIER""","1 UNIDAD","","","","","794","🟢 ok","2"
"PRESTAMO","1 UNIDAD","","","","","798","🟢 ok","115"
"TE VERDE X KG","1 UNIDAD","","","","","799","🟢 ok","1"
"COLAGENO HIDROLIZADO CAPSULA X 50 CÁPSULAS ""NATIER""","1 UNIDAD","","","","","800","🟢 ok","1"
"RESVERATROL X 50 CÁPSULAS ""NATIER""","1 UNIDAD","","","","","801","🟢 ok","2"
"CURCUMA+PIMIENTA X 50 CÁPSULAS ""NATIER""","1 UNIDAD","","","","","802","🟢 ok","0"
"VINAGRE DE SIDRA DE MANZANA X 50 CÁPSULAS ""NATIER""","1 UNIDAD","","","","","803","🟢 ok","3"
"VITAMINA C  X 50 CÁPSULAS ""NATIER""","1 UNIDAD","","","","","804","🟢 ok","3"
"AJO NEGRO X 50 CÁPSULAS ""NATIER""","1 UNIDAD","","","","","805","🟢 ok","0"
"MAGNESIO X 50 CÁPSULAS ""NATIER""","1 UNIDAD","","","","","807","🟢 ok","3"
"MEDALLONES VEGETARIANOS ""KISLEV""","1 UNIDAD","","","","","808","🟢 ok","11"
"SAHUMO LIMPIEZA ENERGENTICA ""SAGRADA MADRE""","1 UNIDAD","","","","","814","🟢 ok","3"
"SAHUMERIO MOMENTOS X5 ""AROMANZA""","1 UNIDAD","","","","","815","🟢 ok","3"
"SAHUMERIO TIBETANO X8 ""AROMANZA""","1 UNIDAD","","","","","816","🟢 ok","22"
"SAHUMEADOR GRANDE COLOR","1 UNIDAD","","","","","820","🟢 ok","1"
"SAHUMEADOR CHICO CEMENTO","1 UNIDAD","","","","","821","🟢 ok","1"
"DIENTE DE LEON XKG","1 UNIDAD","","","","","822","🟢 ok","0"
"ASHWAGANDHA X 60 CAPSULAS ""SOMOS SETA""","1 UNIDAD","","","","","823","🟢 ok","4"
"BARRAS ""CRUDDA""  X40Gr - SIN TACC","1 UNIDAD","","","","","824","🟢 ok","0"
"CITRATO DE MAGNESIO ""EL  NATURALISTA""","1 UNIDAD","","","","","826","🟢 ok","9"
"CITRATO DE POTASIO ""EL NATURALISTA""","1 UNIDAD","","","","","827","🟢 ok","0"
"GLICINATO DE MAGNESIO ""EL NATURALISA""","1 UNIDAD","","","","","828","🟢 ok","0"
"ZINC ""EL NATURALISTA""","1 UNIDAD","","","","","829","🟢 ok","4"
"CARDOMARIANO x 30 cápsulas ""EL NATURALISTA""","1 UNIDAD","","","","","830","🟢 ok","0"
"SPIRULINA X 10 COMP. ""EL NATURALISTA""","1 UNIDAD","","","","","831","🟢 ok","4"
"GINKGO BILOBA FORTE X 10 COMP. ""EL NATURALISTA""","1 UNIDAD","","","","","832","🟢 ok","42"
"VITAMINA E X 10 COMP. ""EL NATURALISTA""","1 UNIDAD","","","","","833","🟢 ok","0"
"GINSENG + MAGNESIO X 10 COMP. ""EL NATURALISTA""","1 UNIDAD","","","","","834","🟢 ok","9"
"LEVADURA DE CERVEZA SABOR QUESO X200GR","1 UNIDAD","","","","","836","🟢 ok","2"
"MARCIANO WINE MALBEC","1 UNIDAD","","","","","838","🟢 ok","6"
"BICARBONATO  DE SODIO X KG","1 UNIDAD","","","","","839","🟢 ok","4"
"POLEN X KG","1 UNIDAD","","","","","842","🟢 ok","1"
"ROSA MOSQUETA X KG","1 UNIDAD","","","","","843","🟢 ok","0"
"MALVA X KG","1 UNIDAD","","","","","845","🟢 ok","0"
"MAPLE ""SYRUP"" JARABE DE ARCE X250ML","1 UNIDAD","","","","","846","🟢 ok","0"
"STEVIA SOBRES X100 ""SIN TACC""","1 UNIDAD","","","","","848","🟢 ok","2"
"STEVIA LIQUIDA X120 ""SIN TACC""","1 UNIDAD","","","","","849","🟢 ok","7"
"GARAM MASALA XKG","1 UNIDAD","","","","","851","🟢 ok","0"
"VITAMINA D3 X 50 UNIDADES ""NATIER""","1 UNIDAD","","","","","852","🟢 ok","3"
"BARRA CROWIE  ARROZ ""SIN TACC""","1 UNIDAD","","","","","853","🟢 ok","106"
"CORDYCEPS EXTRACTO 60CC ""SOMOS SETA""","1 UNIDAD","","","","","855","🟢 ok","1"
"TOSTADAS RISKY  ""SIN TACC""","1 UNIDAD","","","","","857","🟢 ok","22"
"GALLETAS SLIM DOS HERMANO ""SIN TACC""","1 UNIDAD","","","","","861","🟢 ok","15"
"MELENA DE LEON X 60 CAPSULAS ""SOMOS SETA""","1 UNIDAD","","","","","862","🟢 ok","3"
"REISHI X 60 CAPSULAS ""SOMOS SETA""","1 UNIDAD","","","","","863","🟢 ok","0"
"CORDYCEPS X 60 CAPSULAS ""SOMOS SETA""","1 UNIDAD","","","","","864","🟢 ok","1"
"GALLETAS CACHAFAZ INTEGRALES","1 UNIDAD","","","","","865","🟢 ok","2"
"MELENA+ASHWAGANDHA X 60CC ""SOMOS SETA""","1 UNIDAD","","","","","866","🟢 ok","0"
"ACEITE DE OLIVA   500 PET VERDE OLIVA","1 UNIDAD","","","","","869","🟢 ok","15"
"MERMELADA DE FRUTILLAS Y ARANDANOS ""LAS DOÑAS""","1 UNIDAD","","","","","872","🟢 ok","4"
"MERMELADA DE CITRICOS ""LAS DOÑAS""","1 UNIDAD","","","","","873","🟢 ok","5"
"MERMELADA DE PERAS Y JENGIBRE ""LAS DOÑAS""","1 UNIDAD","","","","","874","🟢 ok","10"
"COLADOR COMUN ROSE","1 UNIDAD","","","","","875","🟢 ok","0"
"DELANTAL JEAN","1 UNIDAD","","","","","876","🟢 ok","0"
"PLATA COLOIDAL X100ML","1 UNIDAD","","","","","881","🟢 ok","1"
"DULCE DE LECHE CON STEVIA DOÑA MAGDALENA ""SIN TACC""","1 UNIDAD","","","","","883","🟢 ok","0"
"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 360 G","1 UNIDAD","","","","","890","🟢 ok","2"
"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 200 g","1 UNIDAD","","","","","891","🟢 ok","5"
"SALSA TAHINE","1 UNIDAD","","","","","893","🟢 ok","5"
"DULCE DE LECHE DE COCO VEGANO ""SIN TACC"" - DOÑA MAGDALENA","1 UNIDAD","","","","","894","🟢 ok","0"
"MERMELADA ""DOÑA MAGDALENA"" C/STEVIA ""SIN TACC""","1 UNIDAD","","","","","902","🟢 ok","0"
"CALDO DE VERDURAS CON SAL ""El Naturalista"" x10sobres","1 UNIDAD","","","","","903","🟢 ok","15"
"CALDO DE VERDURA SIN SAL ""El Naturalista"" x10sobres","1 UNIDAD","","","","","904","🟢 ok","2"
"CHOCOLATE 100%  COBERTURA SEMIAMARGO x kg - COLONIAL","1 UNIDAD","","","","","908","🟢 ok","4"
"MELENA+ REISHI X 60CC ""SOMOS SETA""","1 UNIDAD","","","","","909","🟢 ok","0"
"PREMEZCLA PIZZA ""DELICEL"" X500GR SIN TACC","1 UNIDAD","","","","","915","🟢 ok","0"
"REDUCTOR BLISTER  X 10 COMP.""EL NATURALISTA""","1 UNIDAD","","","","","916","🟢 ok","22"
"CURCUMA ACTIVADA CON PIMIENTA X 30 COMP. ""EL NATURALISTA""","1 UNIDAD","","","","","917","🟢 ok","0"
"CASCARA SAGRADA GOTAS X 60 CC ""EL NATURALISTA""","1 UNIDAD","","","","","918","🟢 ok","5"
"MIEL BATIDA ""GOTAS DE ORO"" X500GR","1 UNIDAD","","","","","919","🟢 ok","4"
"VALERIANA BLISTER  X 10 COMP. ""EL NATURALISTA""","1 UNIDAD","","","","","922","🟢 ok","5"
"MIX FRUTOS ROJOS CONGELADOS X KILO","1 UNIDAD","","","","","923","🟢 ok","1"
"STEVIA HOJAS X KG","1 UNIDAD","","","","","925","🟢 ok","1"
"MATCHA X KG","1 UNIDAD","","","","","926","🟢 ok","0"
"PROBIOTICOS KYIOJIN X 60 ML","1 UNIDAD","","","","","927","🟢 ok","3"
"ACEITE DE OREGANO X30CC ""SOMOS SETA""","1 UNIDAD","","","","","932","🟢 ok","2"
"MARACUYA CONGELADO X KG","1 UNIDAD","","","","","933","🟢 ok","2"
"CENTELLA ASIATICA X 50 NATIER","1 UNIDAD","","","","","934","🟢 ok","2"
"VITAMINA B12 X 50 NATIER","1 UNIDAD","","","","","935","🟢 ok","0"
"OMEGA 3-SYNERGY 60 cap","1 UNIDAD","","","","","936","🟢 ok","4"
"AGAR AGAR","1 UNIDAD","","","","","952","🟢 ok","0"
"RESVERATROL X 30 ""EL NATURALISTA""","1 UNIDAD","","","","","959","🟢 ok","7"
"CAROTENO X 10 cápsulas ""EL NATURALISTA""","1 UNIDAD","","","","","965","🟢 ok","2"
"PROPOLEO LIQ X 100ml El Naturalista","1 UNIDAD","","","","","968","🟢 ok","6"
"CURCUMA, JENGIBRE Y PIMIENTA vitawellness x 30 cap","1 UNIDAD","","","","","972","🟢 ok","2"
"VINAGRE DE SIDRA DE MANZANA X 250  ML ""NATIER""","1 UNIDAD","","","","","973","🟢 ok","1"
"MIX SIN PASAS PREMIUM X KG","1 UNIDAD","","","","","974","🟢 ok","4"
"MEMBRILLITOS X30Gr ""PIZARRO""","1 UNIDAD","","","","","975","🟢 ok","19"
"KEFIR DE AGUA ""KE.LIVE"" SABORIZADO X 950 ML","1 UNIDAD","","","","","978","🟢 ok","5"
"CREATINA MONOHIDRATO","1 UNIDAD","","","","","984","🟢 ok","10"
"PROTEINA AISALDA DE SUERO X KG","1 UNIDAD","","","","","985","🟢 ok","2"
"GOTITAS DE CHOCO BLANCO X KG","1 UNIDAD","","","","","987","🟢 ok","2"
"MOLINILLO ACERO INOXIDABLE","1 UNIDAD","","","","","996","🟢 ok","5"
"MORTERO MARMOL","1 UNIDAD","","","","","997","🟢 ok","0"
"ACEITE DE OLIVA  X 500 CC LAUR","1 UNIDAD","El Aceite de Oliva Laur es producido por la olivícola número uno del mundo según el EVOO World Ranking. Originario de Mendoza, Argentina, se destaca por su alta calidad y pureza.","","https://drive.google.com/file/d/1A2gi-MF5FPGL07b8bam7cjKarlnaRTj4/view","","1002","🟢 ok","2"
"DELANTAL LINO ","1 UNIDAD","","","https://drive.google.com/file/d/1Is57ZjqA00Snc2m4IkC1kD7_lgKiDi5N/view","","1003","🔵 falta descripción","4"
"ACEITE DE OLIVA X  500 CC R.V.","1 UNIDAD","El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.","","https://drive.google.com/file/d/1KSYsbt1CWv9vqWtg_sb1PMZ3ZF-IfJTx/view","","1009","🟢 ok","2"
"ACEITE DE OLIVA X  900 CC R.V.","1 UNIDAD","El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.","","https://drive.google.com/file/d/1a4Djen_Q5drmMmJvn9FxpbC_OqDB0twf/view","","1010","🟢 ok","1"
"ACEITE DE OLIVA  PANNOCCHIA X1L","1 UNIDAD","El aceite de oliva Virgen Extra Pannocchia es un producto artesanal mendocino, elaborado mediante primera prensada en frío. Se destaca por ser un blend de variedades seleccionadas, lo que le otorga un perfil de sabor equilibrado y armónico.","","https://drive.google.com/file/d/1rwI76CFaX0kpWKAsnFl2qhIFeJ-cfX9B/view","","1011","🟢 ok","4"
"ACEITE DE OLIVA  X1 L VID. LAUR","1 UNIDAD","El Aceite de Oliva Laur es producido por la olivícola número uno del mundo según el EVOO World Ranking. Originario de Mendoza, Argentina, se destaca por su alta calidad y pureza.","","https://drive.google.com/file/d/18MosSegYZv-so0GIc6eiDLYBvuXj6EDe/view","","1012","🟢 ok","9"
"ACEITE DE OLIVA  PANNOCCHIA X5L","1 UNIDAD","El aceite de oliva Virgen Extra Pannocchia es un producto artesanal mendocino, elaborado mediante primera prensada en frío. Se destaca por ser un blend de variedades seleccionadas, lo que le otorga un perfil de sabor equilibrado y armónico.","","https://drive.google.com/file/d/1KbxYN7XLKm24zzgQf5aZioy-3zdq1rvp/view","","1014","🟢 ok","7"
"MANTECA CLARIFICADA GHEE ""ENTRENUTS"" X370","1 UNIDAD","","","","","1015","🟢 ok","0"
"MIEL BATIDA ""GOTAS DE ORO"" X250GR","1 UNIDAD","","","","","1017","🟢 ok","0"
"MORINGA TINTURA MADRE X60cc ""EL NATURALISTA""","1 UNIDAD","","","","","1022","🟢 ok","3"
"ACEITE PURO DE ARGAN X 50CC","1 UNIDAD","","","","","1023","🟢 ok","3"
"ACEITUNAS GRIEGAS X 1 KG","1 UNIDAD","Las aceitunas griegas Rodrigo de Vivar son un producto emblemático de la olivícola familiar del mismo nombre, ubicada en San Martín, Mendoza. Estas aceitunas negras se caracterizan por ser de tipo ""griego"", procesadas de forma natural para resaltar un sabor intenso y una textura carnosa.","","https://drive.google.com/file/d/1SjcAtYy5_pKiEW-oqI36ukrQb6o0NxYr/view","","1024","🟢 ok","4"
"GALLETAS SIN TACC X KG","1 UNIDAD","","","","","1026","🟢 ok","2"
"CENTELLA ASIATICA+GINKGOBILOBA+TEVERDE+HIBISCUS","1 UNIDAD","","","","","1027","🟢 ok","2"
"MIEL CREMOGENADA  x 500 g ""TRES SOLES"" - FLOR DEL ALGARROBO","1 UNIDAD","","","","","1031","🟢 ok","0"
"MIEL X 500 g ""TRES SOLES"" - JALEA","1 UNIDAD","","","","","1032","🟢 ok","7"
"MIEL X 300 g ""TRES SOLES"" - JALEA","1 UNIDAD","","","","","1033","🟢 ok","2"
"ACEITUNAS RELL. X 200 GR","1 UNIDAD","Las aceitunas rellenas de la marca Durán son un producto clásico de la gastronomía española, específicamente de la región de Extremadura (Guareña, Badajoz). Se caracterizan por su proceso artesanal y el uso de la variedad Manzanilla.","","https://drive.google.com/file/d/1tdWgffM1O9ps3tBKETvpjZ0ze8Uc8bzs/view","","1036","🟢 ok","0"
"CUENCOS DE CERÁMICA","1 UNIDAD","","","","","1037","🟢 ok","0"
"ACEITE DE TOMILLO ""SUPPLY"" X30ML","1 UNIDAD","","","","","1038","🟢 ok","0"
"RELAX BLEND X50CAP. ""NATIER""","1 UNIDAD","","","","","1040","🟢 ok","2"
"GIN DE AUTOR SABORIZADO x 500 cc ""TIERRA SANTA""","1 UNIDAD","","","","","1046","🟢 ok","3"
"ACEITUNAS VERDES X 1/2 KG Nº 00","1 UNIDAD","Las Aceitunas Verdes Nº 00 de la marca Rodrigo de Vivar son un producto premium de origen mendocino, destacadas por su gran tamaño y calidad artesanal.","","https://drive.google.com/file/d/1xQum6K1Y6_d4pTL6TDoxM-7yFwDqPcub/view","","1049","🟢 ok","0"
"MANTELITOS ARTESANALES (POLIÉSTER)","1 UNIDAD","","","","","1052","🟢 ok","0"
"MERKEN CHILENO X KG","1 UNIDAD","","","","","1053","🟢 ok","1"
"ESENCIA DE PAN DULCE 60 cc","1 UNIDAD","","","","","1054","🟢 ok","0"
"ESENCIA DE AGUA DE AZAHAR 60 cc","1 UNIDAD","","","","","1055","🟢 ok","2"
"HARINA DE ALMENDRAS C/PIEL","1 UNIDAD","","","","","1060","🟢 ok","4"
"LENTEJA DE CHOCOLATE XKG","1 UNIDAD","","","","","1061","🟢 ok","4"
"MANGO EN TROZOS CONGELADOS  XKG","1 UNIDAD","","","","","1062","🟢 ok","0"
"SELENIO QUELADO ""NATIER"" X 50 CAP","1 UNIDAD","","","","","1063","🟢 ok","0"
"SEN HOJAS X KG","1 UNIDAD","","","","","1067","🟢 ok","2"
"ADOBO PARA PIZZA","100G/250G/1KG","El adobo para pizza es el secreto que usan las pizzerías tradicionales para elevar el sabor de la salsa o del queso. Básicamente, consiste en una mezcla de hierbas y especias hidratadas en aceite que se aplica antes o después del horneado.","","https://drive.google.com/file/d/1Hpa-w2m8Vn_sBVxKa532gmJKiEyFaz3B/view","","1068","🟢 ok","0"
"ALOE VERA JUGO X 500 ML"" NATIER""","1 UNIDAD","","","","","1070","🟢 ok","2"
"BLEND DE TE X 30g","1 UNIDAD","","","","","1071","🟢 ok","0"
"TOFU SOYANA ORGÁNICO 350 g","1 UNIDAD","","","","","1072","🟢 ok","0"
"BOMBITA DEFUMACION X 4 uni. - SAGRADA MADRE","1 UNIDAD","","","","","1073","🟢 ok","13"
"SAHUMERIOS CON PORTASAHUMERIO AROMANZA","1 UNIDAD","","","","","1074","🟢 ok","4"
"PREMEZCLA BIZCOCHUELO ""DELICEL"" X500GR SIN TACC","1 UNIDAD","","","","","1078","🟢 ok","0"
"AJI MOLIDO FINO","100G/250G/1KG","El ají molido fino es una especia fundamental en la cocina, especialmente en la gastronomía sudamericana. Se obtiene a partir de chiles secos triturados hasta lograr una textura de polvo o granalla muy pequeña.","","https://drive.google.com/file/d/198MWrKl_mMZ6ML255667bHX9yqNLsuFk/view","","1079","🟢 ok","1"
"NAD+RESVERATROL X 60 cápsulas ""EL NATURALISTA""","1 UNIDAD","","","","","1080","🟢 ok","7"
"AJIES DULCES X 110 GR","1 UNIDAD","Los Ajíes Dulces Durang son un producto clásico de la marca argentina Durang, especializada en conservas y encurtidos desde 1984. Se trata de ajíes enteros conservados en vinagre de alcohol, conocidos por su textura crujiente y un sabor que equilibra la acidez con la dulzura natural del fruto, sin ser picantes.","","https://drive.google.com/file/d/1Hh_VZ2mQ0b63SscIg2o80_RROEm8xZFV/view","","1082","🟢 ok","0"
"ACIDO ASCÓRBICO X KG","1 UNIDAD","","","","","1091","🟢 ok","0"
"TILO EN HOJAS","1 UNIDAD","","","","","1092","🟢 ok","0"
"POLVO  PARA HORNEAR X KG","1 UNIDAD","","","","","1093","🟢 ok","12"
"SPIRULINA CONCENTRADA NATIER x 50 cápsulas","1 UNIDAD","","","","","1094","🟢 ok","0"
"CARQUEJA TINTURA MADRE  ""EL NATURALISTA""","1 UNIDAD","","","","","1096","🟢 ok","0"
"ACEITE PURO DE RICINO ""EL NATURALISTA""","1 UNIDAD","","","","","1097","🟢 ok","1"
"ALBAHACA EN HOJAS","100G/250G/1KG","La albahaca seca es un básico en la cocina debido a su sabor concentrado, algo más terroso y menos dulce que la fresca. Es ideal para cocciones largas donde la hierba fresca se marchitaría.","","https://drive.google.com/file/d/1Y5V26NL92wMotUp_Jgag0SMOWwtKpu34/view","","1099","🟢 ok","1"
"ALCAPARRAS X 100 GR","1 UNIDAD","Las alcaparras Cristo de los Cerros son un producto gourmet de origen argentino(elaborado por una empresa familiar que produce aceites y conservas desde 1985). Se destacan por ser libres de gluten (sin TACC) y aptas para veganos, presentándose comúnmente en frascos de 90g y 600g conservadas en vinagre y sal.","","https://drive.google.com/file/d/12kY3S9biElu2bu313qqt2eWDyQif3s38/view","","1100","🟢 ok","0"
"VINAGRE  DE SIDRA DE MANZANA ""VERDE VIDA"" X 500 ML","1 UNIDAD","","","","","1109","🟢 ok","5"
"TRIGO SARRACENO PELADO X KG","1 UNIDAD","","","","","1112","🟢 ok","0"
"ALMIDON DE MAIZ","250G/500G/1KG","El almidón de maíz (conocido comúnmente en muchos países como maicena) es un carbohidrato complejo que se extrae del endospermo del grano de maíz. Es un polvo blanco, fino y sin olor que tiene usos fundamentales tanto en la cocina como en el hogar.","","https://drive.google.com/file/d/1-lmyboOmcA-wBKl-rgFLhLr_HUIjgD2a/view","","1113","🟢 ok","2"
"ALMOHADITAS 2 SALVADO","250G/500G/1KG","Las Almohaditas 2 Salvados son un cereal de desayuno y snack muy popular en Argentina, destacadas por su mayor contenido de fibra en comparación con las versiones tradicionales.","","https://drive.google.com/file/d/1tWKPU9lnGg_x3xO5qKoe1Xe1Yoj0Qzby/view","si","1114","🟢 ok","14"
"ALMOHADITAS DE CHOCOLATE ","250G/500G/1KG","Las almohaditas de chocolate son un cereal de desayuno o snack extruido, caracterizado por una cobertura crocante a base de harinas y un centro cremoso con sabor a cacao.","","https://drive.google.com/file/d/1WtjiyZpSTUeVK4OcYc1z6_cZs3ZOjiHQ/view","si","1115","🟢 ok","0"
"MELISA TINTURA MADRE X 60 CC","1 UNIDAD","","","","","1116","🟢 ok","0"
"ALMOHADITAS DE FRUTILLA","250G/500G/1KG","Las almohaditas de frutilla son un cereal de desayuno y snack muy popular, valorado por su textura crocante de salvado y trigo con un centro cremoso saborizado.","","https://drive.google.com/file/d/1yZdc6EAeBDlf895N0uizyQGemJi7ivZ-/view","si","1117","🟢 ok","4"
"ALMOHADITAS DE LIMON","250G/500G/1KG","Las almohaditas de limón son un cereal de desayuno y snack muy popular, especialmente en Argentina. Se caracterizan por tener una cobertura crocante hecha de harinas y un relleno cremoso con sabor a limón.","","https://drive.google.com/file/d/1M76YRVivSWU1mROLRo7d1MfwQg3ypEI6/view","si","1118","🟢 ok","0"
"PASIONARIA TINTURA MADRE X 6O CC","1 UNIDAD","","","","","1119","🟢 ok","2"
"VALERIANA TINTURA MADRE X 60 CC","1 UNIDAD","","","","","1120","🟢 ok","2"
"ANILLOS DE AVENA Y MIEL","250G/500G/1KG","Los anillos de avena y miel son una opción clásica, nutritiva y deliciosa para el desayuno o la merienda. Son crujientes por fuera, suaves por dentro y naturalmente dulces.","","https://drive.google.com/file/d/1ypkgGfypNVXdAyhu3e_tctFL_pvRh2ih/view","si","1121","🟢 ok","2"
"ANILLOS FRUTADOS","250G/500G/1KG","Los anillos frutados son uno de los cereales más icónicos del desayuno, conocidos por su forma de aro, colores vibrantes y sabor dulce a frutas cítricas.","","https://drive.google.com/file/d/1Ud1G3_GTKzOJlgQUuWIsDS8gW8W7uN1n/view","si","1122","🟢 ok","1"
"ANIS EN GRANO","100G/250G/1KG","El anís en grano (Pimpinella anisum), también conocido como anís verde o matalahúva, es una de las especias más antiguas y valoradas por su distintivo aroma dulce y sus potentes propiedades digestivas.","","https://drive.google.com/file/d/10Rj5SFRP2MBT2ivj_t8FM0I3xKYEw_G7/view","","1123","🟢 ok","1"
"ANIS ESTRELLADO","50G/250G/1KG","El anís estrellado (Illicium verum) es una especia originaria del sudeste asiático (China y Vietnam) obtenida del fruto de un árbol perenne. Aunque comparte un aroma y sabor dulce similar al anís verde europeo, provienen de familias botánicas diferentes.","","https://drive.google.com/file/d/110BKpRZCGMZVqRQ1US6pEtFzah0Jqd00/view","","1124","🟢 ok","4"
"MELENA DE LEON EXTRACTO 60cc ""SOMOS SETA""","1 UNIDAD","","","","","1125","🟢 ok","1"
"ARANDANOS CONGELADOS X KG","1 UNIDAD","Los arándanos congelados son una excelente alternativa saludable y práctica, manteniendo los mismos nutrientes, fibra y antioxidantes que los frescos al ser cosechados y congelados en su punto máximo de madurez. Son ideales para smoothies, yogures y repostería sin conservantes, con una duración de 8 a 10 meses en el freezer.","","https://drive.google.com/file/d/1e8Ghja1stntwUOQlf0XnmXrD3JPb4Kmb/view","","1126","🟢 ok","4"
"ARANDANOS DESHIDRATADOS","250G/500G/1KG","Los arándanos deshidratados son una opción nutricional concentrada, rica en antioxidantes (polifenoles) y fibra, ideal para la salud cardiovascular y digestiva.","","https://drive.google.com/file/d/1-3hEiQdp5-wSKlvvcymYZu1DU6SVODsx/view","si","1127","🟢 ok","1"
"CAFE DESCAFEINADO EXOTIC COLOMBIA BB X250","1 UNIDAD","","","","","1128","🟢 ok","1"
"FILTROS PARA CAFE X 10 unidades","1 UNIDAD","","","","","1129","🟢 ok","0"
"CALCIO+VITAMINA ""D"" 60 uni.  ""EL NATURALISTA""","1 UNIDAD","","","","","1130","🟢 ok","2"
"ARROZ INTEGRAL","250G/500G/1KG","El arroz integral es el grano de arroz al que solo se le ha quitado la cáscara exterior no comestible, conservando el salvado y el germen. Esto lo hace nutricionalmente superior al arroz blanco.","","https://drive.google.com/file/d/1D0a6R-nMl1uqcA7C-NRbVVYys29ljg5_/view","","1131","🟢 ok","2"
"ACEITE DE LINO X 250 cc ""NUTRA SEM""","1 UNIDAD","","","","","1132","🟢 ok","3"
"ARROZ YAMANI","250G/500G/1KG","El arroz yamaní es un arroz integral de grano corto, alto en fibra y nutrientes, conocido por su textura firme y sabor intenso, a menudo descrito como una opción más saludable que el arroz blanco. Se cocina en unos 40 minutos con una proporción de 1 taza de arroz por 2,5 tazas de agua, ideal para guisos, ensaladas y hamburguesas vegetales.","","https://drive.google.com/file/d/1RiePI2Fs0zkEbnaZzjQuI19i3uJtcxQn/view","","1133","🟢 ok","13"
"AVENA TRADICIONAL","250G/500G/1KG","La avena tradicional (o en hojuelas) es un grano entero, mínimamente procesado y prensado, ideal para una dieta equilibrada por su alto contenido en fibra, vitaminas y minerales. Requiere cocción de 5 a 10 minutos en agua o leche, logrando una textura suave pero consistente, perfecta para desayunos, galletas y panificados.","","https://drive.google.com/file/d/1Wrrzd3hO2ew6ry9B0tZ9rpmtMPzYcWhv/view","si","1137","🟢 ok","0"
"AZUCAR IMPALPABLE","250G/500G/1KG","El azúcar impalpable, también conocida como azúcar glas, flor o en polvo, es azúcar blanca refinada molida hasta obtener un polvo extremadamente fino. Se distingue por su textura sedosa que se disuelve instantáneamente en la boca.","","https://drive.google.com/file/d/1A0qdFEmUs_jNrUES8ccOmdecshqTJqma/view","","1140","🟢 ok","1"
